class(r3,Y)	+class(r3,person)	+class(r3,student)	-class(r3,course)	-class(r3,department)	-class(r3,faculty)	-class(r3,researchproject)	-class(r3,staff)
class(r44,Y)	+class(r44,department)	-class(r44,course)	-class(r44,faculty)	-class(r44,person)	-class(r44,researchproject)	-class(r44,staff)	-class(r44,student)
class(r45,Y)	+class(r45,department)	-class(r45,course)	-class(r45,faculty)	-class(r45,person)	-class(r45,researchproject)	-class(r45,staff)	-class(r45,student)
class(r47,Y)	+class(r47,person)	+class(r47,student)	-class(r47,course)	-class(r47,department)	-class(r47,faculty)	-class(r47,researchproject)	-class(r47,staff)
class(r46,Y)	+class(r46,department)	-class(r46,course)	-class(r46,faculty)	-class(r46,person)	-class(r46,researchproject)	-class(r46,staff)	-class(r46,student)
class(r48,Y)	+class(r48,department)	-class(r48,course)	-class(r48,faculty)	-class(r48,person)	-class(r48,researchproject)	-class(r48,staff)	-class(r48,student)
class(r49,Y)	+class(r49,department)	-class(r49,course)	-class(r49,faculty)	-class(r49,person)	-class(r49,researchproject)	-class(r49,staff)	-class(r49,student)
class(r50,Y)	+class(r50,course)	-class(r50,department)	-class(r50,faculty)	-class(r50,person)	-class(r50,researchproject)	-class(r50,staff)	-class(r50,student)
class(r51,Y)	+class(r51,course)	-class(r51,department)	-class(r51,faculty)	-class(r51,person)	-class(r51,researchproject)	-class(r51,staff)	-class(r51,student)
class(r52,Y)	+class(r52,course)	-class(r52,department)	-class(r52,faculty)	-class(r52,person)	-class(r52,researchproject)	-class(r52,staff)	-class(r52,student)
class(r53,Y)	+class(r53,course)	-class(r53,department)	-class(r53,faculty)	-class(r53,person)	-class(r53,researchproject)	-class(r53,staff)	-class(r53,student)
class(r54,Y)	+class(r54,course)	-class(r54,department)	-class(r54,faculty)	-class(r54,person)	-class(r54,researchproject)	-class(r54,staff)	-class(r54,student)
class(r55,Y)	+class(r55,course)	-class(r55,department)	-class(r55,faculty)	-class(r55,person)	-class(r55,researchproject)	-class(r55,staff)	-class(r55,student)
class(r56,Y)	+class(r56,course)	-class(r56,department)	-class(r56,faculty)	-class(r56,person)	-class(r56,researchproject)	-class(r56,staff)	-class(r56,student)
class(r57,Y)	+class(r57,course)	-class(r57,department)	-class(r57,faculty)	-class(r57,person)	-class(r57,researchproject)	-class(r57,staff)	-class(r57,student)
class(r58,Y)	+class(r58,course)	-class(r58,department)	-class(r58,faculty)	-class(r58,person)	-class(r58,researchproject)	-class(r58,staff)	-class(r58,student)
class(r59,Y)	+class(r59,course)	-class(r59,department)	-class(r59,faculty)	-class(r59,person)	-class(r59,researchproject)	-class(r59,staff)	-class(r59,student)
class(r60,Y)	+class(r60,course)	-class(r60,department)	-class(r60,faculty)	-class(r60,person)	-class(r60,researchproject)	-class(r60,staff)	-class(r60,student)
class(r61,Y)	+class(r61,course)	-class(r61,department)	-class(r61,faculty)	-class(r61,person)	-class(r61,researchproject)	-class(r61,staff)	-class(r61,student)
class(r62,Y)	+class(r62,course)	-class(r62,department)	-class(r62,faculty)	-class(r62,person)	-class(r62,researchproject)	-class(r62,staff)	-class(r62,student)
class(r63,Y)	+class(r63,course)	-class(r63,department)	-class(r63,faculty)	-class(r63,person)	-class(r63,researchproject)	-class(r63,staff)	-class(r63,student)
class(r64,Y)	+class(r64,course)	+class(r64,department)	-class(r64,faculty)	-class(r64,person)	-class(r64,researchproject)	-class(r64,staff)	-class(r64,student)
class(r65,Y)	+class(r65,course)	-class(r65,department)	-class(r65,faculty)	-class(r65,person)	-class(r65,researchproject)	-class(r65,staff)	-class(r65,student)
class(r66,Y)	+class(r66,course)	-class(r66,department)	-class(r66,faculty)	-class(r66,person)	-class(r66,researchproject)	-class(r66,staff)	-class(r66,student)
class(r67,Y)	+class(r67,course)	-class(r67,department)	-class(r67,faculty)	-class(r67,person)	-class(r67,researchproject)	-class(r67,staff)	-class(r67,student)
class(r68,Y)	+class(r68,course)	-class(r68,department)	-class(r68,faculty)	-class(r68,person)	-class(r68,researchproject)	-class(r68,staff)	-class(r68,student)
class(r69,Y)	+class(r69,course)	-class(r69,department)	-class(r69,faculty)	-class(r69,person)	-class(r69,researchproject)	-class(r69,staff)	-class(r69,student)
class(r70,Y)	+class(r70,course)	-class(r70,department)	-class(r70,faculty)	-class(r70,person)	-class(r70,researchproject)	-class(r70,staff)	-class(r70,student)
class(r71,Y)	+class(r71,course)	-class(r71,department)	-class(r71,faculty)	-class(r71,person)	-class(r71,researchproject)	-class(r71,staff)	-class(r71,student)
class(r72,Y)	+class(r72,course)	-class(r72,department)	-class(r72,faculty)	-class(r72,person)	-class(r72,researchproject)	-class(r72,staff)	-class(r72,student)
class(r73,Y)	+class(r73,course)	-class(r73,department)	-class(r73,faculty)	-class(r73,person)	-class(r73,researchproject)	-class(r73,staff)	-class(r73,student)
class(r74,Y)	+class(r74,course)	-class(r74,department)	-class(r74,faculty)	-class(r74,person)	-class(r74,researchproject)	-class(r74,staff)	-class(r74,student)
class(r75,Y)	+class(r75,course)	-class(r75,department)	-class(r75,faculty)	-class(r75,person)	-class(r75,researchproject)	-class(r75,staff)	-class(r75,student)
class(r76,Y)	+class(r76,course)	-class(r76,department)	-class(r76,faculty)	-class(r76,person)	-class(r76,researchproject)	-class(r76,staff)	-class(r76,student)
class(r77,Y)	+class(r77,course)	-class(r77,department)	-class(r77,faculty)	-class(r77,person)	-class(r77,researchproject)	-class(r77,staff)	-class(r77,student)
class(r78,Y)	+class(r78,course)	-class(r78,department)	-class(r78,faculty)	-class(r78,person)	-class(r78,researchproject)	-class(r78,staff)	-class(r78,student)
class(r79,Y)	+class(r79,course)	-class(r79,department)	-class(r79,faculty)	-class(r79,person)	-class(r79,researchproject)	-class(r79,staff)	-class(r79,student)
class(r80,Y)	+class(r80,course)	-class(r80,department)	-class(r80,faculty)	-class(r80,person)	-class(r80,researchproject)	-class(r80,staff)	-class(r80,student)
class(r81,Y)	+class(r81,department)	-class(r81,course)	-class(r81,faculty)	-class(r81,person)	-class(r81,researchproject)	-class(r81,staff)	-class(r81,student)
class(r82,Y)	+class(r82,faculty)	+class(r82,person)	-class(r82,course)	-class(r82,department)	-class(r82,researchproject)	-class(r82,staff)	-class(r82,student)
class(r83,Y)	+class(r83,person)	+class(r83,staff)	-class(r83,course)	-class(r83,department)	-class(r83,faculty)	-class(r83,researchproject)	-class(r83,student)
class(r84,Y)	+class(r84,person)	+class(r84,staff)	-class(r84,course)	-class(r84,department)	-class(r84,faculty)	-class(r84,researchproject)	-class(r84,student)
class(r85,Y)	+class(r85,faculty)	+class(r85,person)	-class(r85,course)	-class(r85,department)	-class(r85,researchproject)	-class(r85,staff)	-class(r85,student)
class(r86,Y)	+class(r86,faculty)	+class(r86,person)	-class(r86,course)	-class(r86,department)	-class(r86,researchproject)	-class(r86,staff)	-class(r86,student)
class(r87,Y)	+class(r87,faculty)	+class(r87,person)	-class(r87,course)	-class(r87,department)	-class(r87,researchproject)	-class(r87,staff)	-class(r87,student)
class(r88,Y)	+class(r88,faculty)	+class(r88,person)	-class(r88,course)	-class(r88,department)	-class(r88,researchproject)	-class(r88,staff)	-class(r88,student)
class(r89,Y)	+class(r89,faculty)	+class(r89,person)	-class(r89,course)	-class(r89,department)	-class(r89,researchproject)	-class(r89,staff)	-class(r89,student)
class(r90,Y)	+class(r90,faculty)	+class(r90,person)	-class(r90,course)	-class(r90,department)	-class(r90,researchproject)	-class(r90,staff)	-class(r90,student)
class(r91,Y)	+class(r91,faculty)	+class(r91,person)	-class(r91,course)	-class(r91,department)	-class(r91,researchproject)	-class(r91,staff)	-class(r91,student)
class(r92,Y)	+class(r92,department)	+class(r92,faculty)	+class(r92,person)	-class(r92,course)	-class(r92,researchproject)	-class(r92,staff)	-class(r92,student)
class(r93,Y)	+class(r93,faculty)	+class(r93,person)	-class(r93,course)	-class(r93,department)	-class(r93,researchproject)	-class(r93,staff)	-class(r93,student)
class(r94,Y)	+class(r94,faculty)	+class(r94,person)	-class(r94,course)	-class(r94,department)	-class(r94,researchproject)	-class(r94,staff)	-class(r94,student)
class(r95,Y)	+class(r95,department)	-class(r95,course)	-class(r95,faculty)	-class(r95,person)	-class(r95,researchproject)	-class(r95,staff)	-class(r95,student)
class(r96,Y)	+class(r96,department)	-class(r96,course)	-class(r96,faculty)	-class(r96,person)	-class(r96,researchproject)	-class(r96,staff)	-class(r96,student)
class(r97,Y)	+class(r97,person)	+class(r97,student)	-class(r97,course)	-class(r97,department)	-class(r97,faculty)	-class(r97,researchproject)	-class(r97,staff)
class(r98,Y)	+class(r98,person)	+class(r98,student)	-class(r98,course)	-class(r98,department)	-class(r98,faculty)	-class(r98,researchproject)	-class(r98,staff)
class(r99,Y)	+class(r99,person)	+class(r99,student)	-class(r99,course)	-class(r99,department)	-class(r99,faculty)	-class(r99,researchproject)	-class(r99,staff)
class(r100,Y)	+class(r100,person)	+class(r100,student)	-class(r100,course)	-class(r100,department)	-class(r100,faculty)	-class(r100,researchproject)	-class(r100,staff)
class(r101,Y)	+class(r101,person)	+class(r101,student)	-class(r101,course)	-class(r101,department)	-class(r101,faculty)	-class(r101,researchproject)	-class(r101,staff)
class(r102,Y)	+class(r102,person)	+class(r102,student)	-class(r102,course)	-class(r102,department)	-class(r102,faculty)	-class(r102,researchproject)	-class(r102,staff)
class(r103,Y)	+class(r103,person)	+class(r103,student)	-class(r103,course)	-class(r103,department)	-class(r103,faculty)	-class(r103,researchproject)	-class(r103,staff)
class(r104,Y)	+class(r104,person)	+class(r104,student)	-class(r104,course)	-class(r104,department)	-class(r104,faculty)	-class(r104,researchproject)	-class(r104,staff)
class(r105,Y)	+class(r105,person)	+class(r105,student)	-class(r105,course)	-class(r105,department)	-class(r105,faculty)	-class(r105,researchproject)	-class(r105,staff)
class(r106,Y)	+class(r106,person)	+class(r106,student)	-class(r106,course)	-class(r106,department)	-class(r106,faculty)	-class(r106,researchproject)	-class(r106,staff)
class(r107,Y)	+class(r107,person)	+class(r107,student)	-class(r107,course)	-class(r107,department)	-class(r107,faculty)	-class(r107,researchproject)	-class(r107,staff)
class(r108,Y)	+class(r108,person)	+class(r108,student)	-class(r108,course)	-class(r108,department)	-class(r108,faculty)	-class(r108,researchproject)	-class(r108,staff)
class(r109,Y)	+class(r109,person)	+class(r109,student)	-class(r109,course)	-class(r109,department)	-class(r109,faculty)	-class(r109,researchproject)	-class(r109,staff)
class(r110,Y)	+class(r110,person)	+class(r110,student)	-class(r110,course)	-class(r110,department)	-class(r110,faculty)	-class(r110,researchproject)	-class(r110,staff)
class(r111,Y)	+class(r111,person)	+class(r111,student)	-class(r111,course)	-class(r111,department)	-class(r111,faculty)	-class(r111,researchproject)	-class(r111,staff)
class(r112,Y)	+class(r112,faculty)	+class(r112,person)	-class(r112,course)	-class(r112,department)	-class(r112,researchproject)	-class(r112,staff)	-class(r112,student)
class(r113,Y)	+class(r113,faculty)	+class(r113,person)	-class(r113,course)	-class(r113,department)	-class(r113,researchproject)	-class(r113,staff)	-class(r113,student)
class(r114,Y)	+class(r114,person)	+class(r114,staff)	-class(r114,course)	-class(r114,department)	-class(r114,faculty)	-class(r114,researchproject)	-class(r114,student)
class(r115,Y)	+class(r115,person)	+class(r115,student)	-class(r115,course)	-class(r115,department)	-class(r115,faculty)	-class(r115,researchproject)	-class(r115,staff)
class(r116,Y)	+class(r116,person)	+class(r116,student)	-class(r116,course)	-class(r116,department)	-class(r116,faculty)	-class(r116,researchproject)	-class(r116,staff)
class(r117,Y)	+class(r117,faculty)	+class(r117,person)	-class(r117,course)	-class(r117,department)	-class(r117,researchproject)	-class(r117,staff)	-class(r117,student)
class(r118,Y)	+class(r118,department)	-class(r118,course)	-class(r118,faculty)	-class(r118,person)	-class(r118,researchproject)	-class(r118,staff)	-class(r118,student)
class(r119,Y)	+class(r119,person)	+class(r119,student)	-class(r119,course)	-class(r119,department)	-class(r119,faculty)	-class(r119,researchproject)	-class(r119,staff)
class(r120,Y)	+class(r120,person)	+class(r120,staff)	-class(r120,course)	-class(r120,department)	-class(r120,faculty)	-class(r120,researchproject)	-class(r120,student)
class(r121,Y)	+class(r121,person)	+class(r121,staff)	-class(r121,course)	-class(r121,department)	-class(r121,faculty)	-class(r121,researchproject)	-class(r121,student)
class(r122,Y)	+class(r122,person)	+class(r122,student)	-class(r122,course)	-class(r122,department)	-class(r122,faculty)	-class(r122,researchproject)	-class(r122,staff)
class(r123,Y)	+class(r123,department)	+class(r123,faculty)	+class(r123,person)	-class(r123,course)	-class(r123,researchproject)	-class(r123,staff)	-class(r123,student)
class(r124,Y)	+class(r124,person)	+class(r124,staff)	-class(r124,course)	-class(r124,department)	-class(r124,faculty)	-class(r124,researchproject)	-class(r124,student)
class(r125,Y)	+class(r125,person)	+class(r125,student)	-class(r125,course)	-class(r125,department)	-class(r125,faculty)	-class(r125,researchproject)	-class(r125,staff)
class(r126,Y)	+class(r126,person)	+class(r126,student)	-class(r126,course)	-class(r126,department)	-class(r126,faculty)	-class(r126,researchproject)	-class(r126,staff)
class(r127,Y)	+class(r127,faculty)	+class(r127,person)	-class(r127,course)	-class(r127,department)	-class(r127,researchproject)	-class(r127,staff)	-class(r127,student)
class(r128,Y)	+class(r128,person)	+class(r128,student)	-class(r128,course)	-class(r128,department)	-class(r128,faculty)	-class(r128,researchproject)	-class(r128,staff)
class(r129,Y)	+class(r129,person)	+class(r129,student)	-class(r129,course)	-class(r129,department)	-class(r129,faculty)	-class(r129,researchproject)	-class(r129,staff)
class(r130,Y)	+class(r130,faculty)	+class(r130,person)	-class(r130,course)	-class(r130,department)	-class(r130,researchproject)	-class(r130,staff)	-class(r130,student)
class(r131,Y)	+class(r131,department)	+class(r131,person)	+class(r131,student)	-class(r131,course)	-class(r131,faculty)	-class(r131,researchproject)	-class(r131,staff)
class(r132,Y)	+class(r132,person)	+class(r132,student)	-class(r132,course)	-class(r132,department)	-class(r132,faculty)	-class(r132,researchproject)	-class(r132,staff)
class(r133,Y)	+class(r133,person)	+class(r133,student)	-class(r133,course)	-class(r133,department)	-class(r133,faculty)	-class(r133,researchproject)	-class(r133,staff)
class(r134,Y)	+class(r134,person)	+class(r134,staff)	-class(r134,course)	-class(r134,department)	-class(r134,faculty)	-class(r134,researchproject)	-class(r134,student)
class(r135,Y)	+class(r135,person)	+class(r135,student)	-class(r135,course)	-class(r135,department)	-class(r135,faculty)	-class(r135,researchproject)	-class(r135,staff)
class(r136,Y)	+class(r136,person)	+class(r136,student)	-class(r136,course)	-class(r136,department)	-class(r136,faculty)	-class(r136,researchproject)	-class(r136,staff)
class(r137,Y)	+class(r137,person)	+class(r137,student)	-class(r137,course)	-class(r137,department)	-class(r137,faculty)	-class(r137,researchproject)	-class(r137,staff)
class(r138,Y)	+class(r138,person)	+class(r138,student)	-class(r138,course)	-class(r138,department)	-class(r138,faculty)	-class(r138,researchproject)	-class(r138,staff)
class(r139,Y)	+class(r139,faculty)	+class(r139,person)	-class(r139,course)	-class(r139,department)	-class(r139,researchproject)	-class(r139,staff)	-class(r139,student)
class(r140,Y)	+class(r140,person)	+class(r140,student)	-class(r140,course)	-class(r140,department)	-class(r140,faculty)	-class(r140,researchproject)	-class(r140,staff)
class(r141,Y)	+class(r141,person)	+class(r141,student)	-class(r141,course)	-class(r141,department)	-class(r141,faculty)	-class(r141,researchproject)	-class(r141,staff)
class(r142,Y)	+class(r142,faculty)	+class(r142,person)	-class(r142,course)	-class(r142,department)	-class(r142,researchproject)	-class(r142,staff)	-class(r142,student)
class(r143,Y)	+class(r143,person)	+class(r143,student)	-class(r143,course)	-class(r143,department)	-class(r143,faculty)	-class(r143,researchproject)	-class(r143,staff)
class(r144,Y)	+class(r144,person)	+class(r144,student)	-class(r144,course)	-class(r144,department)	-class(r144,faculty)	-class(r144,researchproject)	-class(r144,staff)
class(r145,Y)	+class(r145,person)	+class(r145,student)	-class(r145,course)	-class(r145,department)	-class(r145,faculty)	-class(r145,researchproject)	-class(r145,staff)
class(r146,Y)	+class(r146,person)	+class(r146,student)	-class(r146,course)	-class(r146,department)	-class(r146,faculty)	-class(r146,researchproject)	-class(r146,staff)
class(r147,Y)	+class(r147,person)	+class(r147,student)	-class(r147,course)	-class(r147,department)	-class(r147,faculty)	-class(r147,researchproject)	-class(r147,staff)
class(r148,Y)	+class(r148,person)	+class(r148,student)	-class(r148,course)	-class(r148,department)	-class(r148,faculty)	-class(r148,researchproject)	-class(r148,staff)
class(r149,Y)	+class(r149,person)	+class(r149,student)	-class(r149,course)	-class(r149,department)	-class(r149,faculty)	-class(r149,researchproject)	-class(r149,staff)
class(r150,Y)	+class(r150,person)	+class(r150,student)	-class(r150,course)	-class(r150,department)	-class(r150,faculty)	-class(r150,researchproject)	-class(r150,staff)
class(r151,Y)	+class(r151,person)	+class(r151,student)	-class(r151,course)	-class(r151,department)	-class(r151,faculty)	-class(r151,researchproject)	-class(r151,staff)
class(r152,Y)	+class(r152,person)	+class(r152,staff)	-class(r152,course)	-class(r152,department)	-class(r152,faculty)	-class(r152,researchproject)	-class(r152,student)
class(r153,Y)	+class(r153,person)	+class(r153,student)	-class(r153,course)	-class(r153,department)	-class(r153,faculty)	-class(r153,researchproject)	-class(r153,staff)
class(r154,Y)	+class(r154,person)	+class(r154,student)	-class(r154,course)	-class(r154,department)	-class(r154,faculty)	-class(r154,researchproject)	-class(r154,staff)
class(r155,Y)	+class(r155,person)	+class(r155,student)	-class(r155,course)	-class(r155,department)	-class(r155,faculty)	-class(r155,researchproject)	-class(r155,staff)
class(r156,Y)	+class(r156,faculty)	+class(r156,person)	-class(r156,course)	-class(r156,department)	-class(r156,researchproject)	-class(r156,staff)	-class(r156,student)
class(r157,Y)	+class(r157,person)	+class(r157,student)	-class(r157,course)	-class(r157,department)	-class(r157,faculty)	-class(r157,researchproject)	-class(r157,staff)
class(r158,Y)	+class(r158,person)	+class(r158,student)	-class(r158,course)	-class(r158,department)	-class(r158,faculty)	-class(r158,researchproject)	-class(r158,staff)
class(r159,Y)	+class(r159,person)	+class(r159,student)	-class(r159,course)	-class(r159,department)	-class(r159,faculty)	-class(r159,researchproject)	-class(r159,staff)
class(r160,Y)	+class(r160,person)	+class(r160,student)	-class(r160,course)	-class(r160,department)	-class(r160,faculty)	-class(r160,researchproject)	-class(r160,staff)
class(r161,Y)	+class(r161,person)	+class(r161,student)	-class(r161,course)	-class(r161,department)	-class(r161,faculty)	-class(r161,researchproject)	-class(r161,staff)
class(r162,Y)	+class(r162,person)	+class(r162,student)	-class(r162,course)	-class(r162,department)	-class(r162,faculty)	-class(r162,researchproject)	-class(r162,staff)
class(r163,Y)	+class(r163,person)	+class(r163,student)	-class(r163,course)	-class(r163,department)	-class(r163,faculty)	-class(r163,researchproject)	-class(r163,staff)
class(r164,Y)	+class(r164,person)	+class(r164,student)	-class(r164,course)	-class(r164,department)	-class(r164,faculty)	-class(r164,researchproject)	-class(r164,staff)
class(r165,Y)	+class(r165,person)	+class(r165,student)	-class(r165,course)	-class(r165,department)	-class(r165,faculty)	-class(r165,researchproject)	-class(r165,staff)
class(r166,Y)	+class(r166,person)	+class(r166,student)	-class(r166,course)	-class(r166,department)	-class(r166,faculty)	-class(r166,researchproject)	-class(r166,staff)
class(r167,Y)	+class(r167,person)	+class(r167,student)	-class(r167,course)	-class(r167,department)	-class(r167,faculty)	-class(r167,researchproject)	-class(r167,staff)
class(r168,Y)	+class(r168,person)	+class(r168,student)	-class(r168,course)	-class(r168,department)	-class(r168,faculty)	-class(r168,researchproject)	-class(r168,staff)
class(r169,Y)	+class(r169,person)	+class(r169,student)	-class(r169,course)	-class(r169,department)	-class(r169,faculty)	-class(r169,researchproject)	-class(r169,staff)
class(r170,Y)	+class(r170,person)	+class(r170,student)	-class(r170,course)	-class(r170,department)	-class(r170,faculty)	-class(r170,researchproject)	-class(r170,staff)
class(r171,Y)	+class(r171,person)	+class(r171,student)	-class(r171,course)	-class(r171,department)	-class(r171,faculty)	-class(r171,researchproject)	-class(r171,staff)
class(r172,Y)	+class(r172,person)	+class(r172,student)	-class(r172,course)	-class(r172,department)	-class(r172,faculty)	-class(r172,researchproject)	-class(r172,staff)
class(r173,Y)	+class(r173,person)	+class(r173,student)	-class(r173,course)	-class(r173,department)	-class(r173,faculty)	-class(r173,researchproject)	-class(r173,staff)
class(r174,Y)	+class(r174,person)	+class(r174,student)	-class(r174,course)	-class(r174,department)	-class(r174,faculty)	-class(r174,researchproject)	-class(r174,staff)
class(r175,Y)	+class(r175,person)	+class(r175,student)	-class(r175,course)	-class(r175,department)	-class(r175,faculty)	-class(r175,researchproject)	-class(r175,staff)
class(r176,Y)	+class(r176,faculty)	+class(r176,person)	-class(r176,course)	-class(r176,department)	-class(r176,researchproject)	-class(r176,staff)	-class(r176,student)
class(r177,Y)	+class(r177,person)	+class(r177,student)	-class(r177,course)	-class(r177,department)	-class(r177,faculty)	-class(r177,researchproject)	-class(r177,staff)
class(r178,Y)	+class(r178,faculty)	+class(r178,person)	-class(r178,course)	-class(r178,department)	-class(r178,researchproject)	-class(r178,staff)	-class(r178,student)
class(r179,Y)	+class(r179,person)	+class(r179,staff)	-class(r179,course)	-class(r179,department)	-class(r179,faculty)	-class(r179,researchproject)	-class(r179,student)
class(r180,Y)	+class(r180,person)	+class(r180,student)	-class(r180,course)	-class(r180,department)	-class(r180,faculty)	-class(r180,researchproject)	-class(r180,staff)
class(r181,Y)	+class(r181,person)	+class(r181,staff)	-class(r181,course)	-class(r181,department)	-class(r181,faculty)	-class(r181,researchproject)	-class(r181,student)
class(r182,Y)	+class(r182,person)	+class(r182,student)	-class(r182,course)	-class(r182,department)	-class(r182,faculty)	-class(r182,researchproject)	-class(r182,staff)
class(r183,Y)	+class(r183,person)	+class(r183,student)	-class(r183,course)	-class(r183,department)	-class(r183,faculty)	-class(r183,researchproject)	-class(r183,staff)
class(r184,Y)	+class(r184,person)	+class(r184,student)	-class(r184,course)	-class(r184,department)	-class(r184,faculty)	-class(r184,researchproject)	-class(r184,staff)
class(r185,Y)	+class(r185,person)	+class(r185,student)	-class(r185,course)	-class(r185,department)	-class(r185,faculty)	-class(r185,researchproject)	-class(r185,staff)
class(r186,Y)	+class(r186,faculty)	+class(r186,person)	-class(r186,course)	-class(r186,department)	-class(r186,researchproject)	-class(r186,staff)	-class(r186,student)
class(r187,Y)	+class(r187,person)	+class(r187,student)	-class(r187,course)	-class(r187,department)	-class(r187,faculty)	-class(r187,researchproject)	-class(r187,staff)
class(r188,Y)	+class(r188,person)	+class(r188,student)	-class(r188,course)	-class(r188,department)	-class(r188,faculty)	-class(r188,researchproject)	-class(r188,staff)
class(r189,Y)	+class(r189,person)	+class(r189,student)	-class(r189,course)	-class(r189,department)	-class(r189,faculty)	-class(r189,researchproject)	-class(r189,staff)
class(r190,Y)	+class(r190,person)	+class(r190,staff)	-class(r190,course)	-class(r190,department)	-class(r190,faculty)	-class(r190,researchproject)	-class(r190,student)
class(r191,Y)	+class(r191,course)	-class(r191,department)	-class(r191,faculty)	-class(r191,person)	-class(r191,researchproject)	-class(r191,staff)	-class(r191,student)
class(r192,Y)	+class(r192,faculty)	+class(r192,person)	-class(r192,course)	-class(r192,department)	-class(r192,researchproject)	-class(r192,staff)	-class(r192,student)
class(r193,Y)	+class(r193,person)	+class(r193,student)	-class(r193,course)	-class(r193,department)	-class(r193,faculty)	-class(r193,researchproject)	-class(r193,staff)
class(r194,Y)	+class(r194,person)	+class(r194,student)	-class(r194,course)	-class(r194,department)	-class(r194,faculty)	-class(r194,researchproject)	-class(r194,staff)
class(r195,Y)	+class(r195,person)	+class(r195,student)	-class(r195,course)	-class(r195,department)	-class(r195,faculty)	-class(r195,researchproject)	-class(r195,staff)
class(r196,Y)	+class(r196,person)	+class(r196,student)	-class(r196,course)	-class(r196,department)	-class(r196,faculty)	-class(r196,researchproject)	-class(r196,staff)
class(r197,Y)	+class(r197,person)	+class(r197,student)	-class(r197,course)	-class(r197,department)	-class(r197,faculty)	-class(r197,researchproject)	-class(r197,staff)
class(r198,Y)	+class(r198,person)	+class(r198,student)	-class(r198,course)	-class(r198,department)	-class(r198,faculty)	-class(r198,researchproject)	-class(r198,staff)
class(r199,Y)	+class(r199,person)	+class(r199,staff)	-class(r199,course)	-class(r199,department)	-class(r199,faculty)	-class(r199,researchproject)	-class(r199,student)
class(r200,Y)	+class(r200,researchproject)	-class(r200,course)	-class(r200,department)	-class(r200,faculty)	-class(r200,person)	-class(r200,staff)	-class(r200,student)
class(r201,Y)	+class(r201,course)	-class(r201,department)	-class(r201,faculty)	-class(r201,person)	-class(r201,researchproject)	-class(r201,staff)	-class(r201,student)
class(r202,Y)	+class(r202,person)	+class(r202,student)	-class(r202,course)	-class(r202,department)	-class(r202,faculty)	-class(r202,researchproject)	-class(r202,staff)
class(r203,Y)	+class(r203,person)	+class(r203,student)	-class(r203,course)	-class(r203,department)	-class(r203,faculty)	-class(r203,researchproject)	-class(r203,staff)
class(r204,Y)	+class(r204,person)	+class(r204,student)	-class(r204,course)	-class(r204,department)	-class(r204,faculty)	-class(r204,researchproject)	-class(r204,staff)
class(r205,Y)	+class(r205,department)	-class(r205,course)	-class(r205,faculty)	-class(r205,person)	-class(r205,researchproject)	-class(r205,staff)	-class(r205,student)
